question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u6211_listen,char_u6211,LISTEN_CHOOSE_CHARACTER,我,你,他,她,draft,DRAFT
q_char_u4f60_listen,char_u4f60,LISTEN_CHOOSE_CHARACTER,你,他,她,它,draft,DRAFT
q_char_u4ed6_listen,char_u4ed6,LISTEN_CHOOSE_CHARACTER,他,她,它,爱,draft,DRAFT
q_char_u5979_listen,char_u5979,LISTEN_CHOOSE_CHARACTER,她,它,爱,友,draft,DRAFT
q_char_u5b83_listen,char_u5b83,LISTEN_CHOOSE_CHARACTER,它,爱,友,同,draft,DRAFT
q_char_u7231_listen,char_u7231,LISTEN_CHOOSE_CHARACTER,爱,友,同,学,draft,DRAFT
q_char_u53cb_listen,char_u53cb,LISTEN_CHOOSE_CHARACTER,友,同,学,校,draft,DRAFT
q_char_u540c_listen,char_u540c,LISTEN_CHOOSE_CHARACTER,同,学,校,师,draft,DRAFT
q_char_u5b66_listen,char_u5b66,LISTEN_CHOOSE_CHARACTER,学,校,师,生,draft,DRAFT
q_char_u6821_listen,char_u6821,LISTEN_CHOOSE_CHARACTER,校,师,生,字,draft,DRAFT
q_char_u5e08_listen,char_u5e08,LISTEN_CHOOSE_CHARACTER,师,生,字,文,draft,DRAFT
q_char_u751f_listen,char_u751f,LISTEN_CHOOSE_CHARACTER,生,字,文,画,draft,DRAFT
q_char_u5b57_listen,char_u5b57,LISTEN_CHOOSE_CHARACTER,字,文,画,读,draft,DRAFT
q_char_u6587_listen,char_u6587,LISTEN_CHOOSE_CHARACTER,文,画,读,写,draft,DRAFT
q_char_u753b_listen,char_u753b,LISTEN_CHOOSE_CHARACTER,画,读,写,认,draft,DRAFT
q_char_u8bfb_listen,char_u8bfb,LISTEN_CHOOSE_CHARACTER,读,写,认,知,draft,DRAFT
q_char_u5199_listen,char_u5199,LISTEN_CHOOSE_CHARACTER,写,认,知,想,draft,DRAFT
q_char_u8ba4_listen,char_u8ba4,LISTEN_CHOOSE_CHARACTER,认,知,想,要,draft,DRAFT
q_char_u77e5_listen,char_u77e5,LISTEN_CHOOSE_CHARACTER,知,想,要,给,draft,DRAFT
q_char_u60f3_listen,char_u60f3,LISTEN_CHOOSE_CHARACTER,想,要,给,和,draft,DRAFT
q_char_u8981_listen,char_u8981,LISTEN_CHOOSE_CHARACTER,要,给,和,在,draft,DRAFT
q_char_u7ed9_listen,char_u7ed9,LISTEN_CHOOSE_CHARACTER,给,和,在,这,draft,DRAFT
q_char_u548c_listen,char_u548c,LISTEN_CHOOSE_CHARACTER,和,在,这,那,draft,DRAFT
q_char_u5728_listen,char_u5728,LISTEN_CHOOSE_CHARACTER,在,这,那,哪,draft,DRAFT
q_char_u8fd9_listen,char_u8fd9,LISTEN_CHOOSE_CHARACTER,这,那,哪,谁,draft,DRAFT
q_char_u90a3_listen,char_u90a3,LISTEN_CHOOSE_CHARACTER,那,哪,谁,什,draft,DRAFT
q_char_u54ea_listen,char_u54ea,LISTEN_CHOOSE_CHARACTER,哪,谁,什,么,draft,DRAFT
q_char_u8c01_listen,char_u8c01,LISTEN_CHOOSE_CHARACTER,谁,什,么,一,draft,DRAFT
q_char_u4ec0_listen,char_u4ec0,LISTEN_CHOOSE_CHARACTER,什,么,一,二,draft,DRAFT
q_char_u4e48_listen,char_u4e48,LISTEN_CHOOSE_CHARACTER,么,一,二,三,draft,DRAFT
q_char_u4e00_listen,char_u4e00,LISTEN_CHOOSE_CHARACTER,一,二,三,四,draft,DRAFT
q_char_u4e8c_listen,char_u4e8c,LISTEN_CHOOSE_CHARACTER,二,三,四,五,draft,DRAFT
q_char_u4e09_listen,char_u4e09,LISTEN_CHOOSE_CHARACTER,三,四,五,六,draft,DRAFT
q_char_u56db_listen,char_u56db,LISTEN_CHOOSE_CHARACTER,四,五,六,七,draft,DRAFT
q_char_u4e94_listen,char_u4e94,LISTEN_CHOOSE_CHARACTER,五,六,七,八,draft,DRAFT
q_char_u516d_listen,char_u516d,LISTEN_CHOOSE_CHARACTER,六,七,八,九,draft,DRAFT
q_char_u4e03_listen,char_u4e03,LISTEN_CHOOSE_CHARACTER,七,八,九,十,draft,DRAFT
q_char_u516b_listen,char_u516b,LISTEN_CHOOSE_CHARACTER,八,九,十,百,draft,DRAFT
q_char_u4e5d_listen,char_u4e5d,LISTEN_CHOOSE_CHARACTER,九,十,百,千,draft,DRAFT
q_char_u5341_listen,char_u5341,LISTEN_CHOOSE_CHARACTER,十,百,千,个,draft,DRAFT
q_char_u767e_listen,char_u767e,LISTEN_CHOOSE_CHARACTER,百,千,个,只,draft,DRAFT
q_char_u5343_listen,char_u5343,LISTEN_CHOOSE_CHARACTER,千,个,只,本,draft,DRAFT
q_char_u4e2a_listen,char_u4e2a,LISTEN_CHOOSE_CHARACTER,个,只,本,张,draft,DRAFT
q_char_u53ea_listen,char_u53ea,LISTEN_CHOOSE_CHARACTER,只,本,张,件,draft,DRAFT
q_char_u672c_listen,char_u672c,LISTEN_CHOOSE_CHARACTER,本,张,件,条,draft,DRAFT
q_char_u5f20_listen,char_u5f20,LISTEN_CHOOSE_CHARACTER,张,件,条,些,draft,DRAFT
q_char_u4ef6_listen,char_u4ef6,LISTEN_CHOOSE_CHARACTER,件,条,些,每,draft,DRAFT
q_char_u6761_listen,char_u6761,LISTEN_CHOOSE_CHARACTER,条,些,每,都,draft,DRAFT
