question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u6797_listen,char_u6797,LISTEN_CHOOSE_CHARACTER,林,原,公,园,draft,DRAFT
q_char_u539f_listen,char_u539f,LISTEN_CHOOSE_CHARACTER,原,公,园,院,draft,DRAFT
q_char_u516c_listen,char_u516c,LISTEN_CHOOSE_CHARACTER,公,园,院,商,draft,DRAFT
q_char_u56ed_listen,char_u56ed,LISTEN_CHOOSE_CHARACTER,园,院,商,店,draft,DRAFT
q_char_u9662_listen,char_u9662,LISTEN_CHOOSE_CHARACTER,院,商,店,厨,draft,DRAFT
q_char_u5546_listen,char_u5546,LISTEN_CHOOSE_CHARACTER,商,店,厨,厕,draft,DRAFT
q_char_u5e97_listen,char_u5e97,LISTEN_CHOOSE_CHARACTER,店,厨,厕,所,draft,DRAFT
q_char_u53a8_listen,char_u53a8,LISTEN_CHOOSE_CHARACTER,厨,厕,所,间,draft,DRAFT
q_char_u5395_listen,char_u5395,LISTEN_CHOOSE_CHARACTER,厕,所,间,城,draft,DRAFT
q_char_u6240_listen,char_u6240,LISTEN_CHOOSE_CHARACTER,所,间,城,市,draft,DRAFT
q_char_u95f4_listen,char_u95f4,LISTEN_CHOOSE_CHARACTER,间,城,市,乡,draft,DRAFT
q_char_u57ce_listen,char_u57ce,LISTEN_CHOOSE_CHARACTER,城,市,乡,村,draft,DRAFT
q_char_u5e02_listen,char_u5e02,LISTEN_CHOOSE_CHARACTER,市,乡,村,国,draft,DRAFT
q_char_u4e61_listen,char_u4e61,LISTEN_CHOOSE_CHARACTER,乡,村,国,世,draft,DRAFT
q_char_u6751_listen,char_u6751,LISTEN_CHOOSE_CHARACTER,村,国,世,界,draft,DRAFT
q_char_u56fd_listen,char_u56fd,LISTEN_CHOOSE_CHARACTER,国,世,界,河,draft,DRAFT
q_char_u4e16_listen,char_u4e16,LISTEN_CHOOSE_CHARACTER,世,界,河,海,draft,DRAFT
