question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u7ad9_listen,char_u7ad9,LISTEN_CHOOSE_CHARACTER,站,坐,哭,住,draft,DRAFT
q_char_u5750_listen,char_u5750,LISTEN_CHOOSE_CHARACTER,坐,哭,住,玩,draft,DRAFT
q_char_u54ed_listen,char_u54ed,LISTEN_CHOOSE_CHARACTER,哭,住,玩,做,draft,DRAFT
q_char_u4f4f_listen,char_u4f4f,LISTEN_CHOOSE_CHARACTER,住,玩,做,用,draft,DRAFT
q_char_u73a9_listen,char_u73a9,LISTEN_CHOOSE_CHARACTER,玩,做,用,找,draft,DRAFT
q_char_u505a_listen,char_u505a,LISTEN_CHOOSE_CHARACTER,做,用,找,拿,draft,DRAFT
q_char_u7528_listen,char_u7528,LISTEN_CHOOSE_CHARACTER,用,找,拿,放,draft,DRAFT
q_char_u627e_listen,char_u627e,LISTEN_CHOOSE_CHARACTER,找,拿,放,故,draft,DRAFT
q_char_u62ff_listen,char_u62ff,LISTEN_CHOOSE_CHARACTER,拿,放,故,事,draft,DRAFT
q_char_u653e_listen,char_u653e,LISTEN_CHOOSE_CHARACTER,放,故,事,朋,draft,DRAFT
q_char_u6545_listen,char_u6545,LISTEN_CHOOSE_CHARACTER,故,事,朋,哥,draft,DRAFT
q_char_u4e8b_listen,char_u4e8b,LISTEN_CHOOSE_CHARACTER,事,朋,哥,姐,draft,DRAFT
q_char_u670b_listen,char_u670b,LISTEN_CHOOSE_CHARACTER,朋,哥,姐,弟,draft,DRAFT
q_char_u54e5_listen,char_u54e5,LISTEN_CHOOSE_CHARACTER,哥,姐,弟,妹,draft,DRAFT
q_char_u59d0_listen,char_u59d0,LISTEN_CHOOSE_CHARACTER,姐,弟,妹,宝,draft,DRAFT
q_char_u5f1f_listen,char_u5f1f,LISTEN_CHOOSE_CHARACTER,弟,妹,宝,孩,draft,DRAFT
q_char_u59b9_listen,char_u59b9,LISTEN_CHOOSE_CHARACTER,妹,宝,孩,子,draft,DRAFT
q_char_u5b9d_listen,char_u5b9d,LISTEN_CHOOSE_CHARACTER,宝,孩,子,医,draft,DRAFT
q_char_u5b69_listen,char_u5b69,LISTEN_CHOOSE_CHARACTER,孩,子,医,护,draft,DRAFT
q_char_u5b50_listen,char_u5b50,LISTEN_CHOOSE_CHARACTER,子,医,护,士,draft,DRAFT
q_char_u533b_listen,char_u533b,LISTEN_CHOOSE_CHARACTER,医,护,士,警,draft,DRAFT
q_char_u62a4_listen,char_u62a4,LISTEN_CHOOSE_CHARACTER,护,士,警,察,draft,DRAFT
q_char_u58eb_listen,char_u58eb,LISTEN_CHOOSE_CHARACTER,士,警,察,农,draft,DRAFT
q_char_u8b66_listen,char_u8b66,LISTEN_CHOOSE_CHARACTER,警,察,农,民,draft,DRAFT
q_char_u5bdf_listen,char_u5bdf,LISTEN_CHOOSE_CHARACTER,察,农,民,工,draft,DRAFT
q_char_u519c_listen,char_u519c,LISTEN_CHOOSE_CHARACTER,农,民,工,谢,draft,DRAFT
q_char_u6c11_listen,char_u6c11,LISTEN_CHOOSE_CHARACTER,民,工,谢,请,draft,DRAFT
q_char_u5de5_listen,char_u5de5,LISTEN_CHOOSE_CHARACTER,工,谢,请,问,draft,DRAFT
q_char_u8c22_listen,char_u8c22,LISTEN_CHOOSE_CHARACTER,谢,请,问,对,draft,DRAFT
q_char_u8bf7_listen,char_u8bf7,LISTEN_CHOOSE_CHARACTER,请,问,对,起,draft,DRAFT
q_char_u95ee_listen,char_u95ee,LISTEN_CHOOSE_CHARACTER,问,对,起,欢,draft,DRAFT
q_char_u5bf9_listen,char_u5bf9,LISTEN_CHOOSE_CHARACTER,对,起,欢,迎,draft,DRAFT
q_char_u8d77_listen,char_u8d77,LISTEN_CHOOSE_CHARACTER,起,欢,迎,安,draft,DRAFT
q_char_u6b22_listen,char_u6b22,LISTEN_CHOOSE_CHARACTER,欢,迎,安,全,draft,DRAFT
q_char_u8fce_listen,char_u8fce,LISTEN_CHOOSE_CHARACTER,迎,安,全,帮,draft,DRAFT
q_char_u5b89_listen,char_u5b89,LISTEN_CHOOSE_CHARACTER,安,全,帮,助,draft,DRAFT
q_char_u5168_listen,char_u5168,LISTEN_CHOOSE_CHARACTER,全,帮,助,喜,draft,DRAFT
q_char_u5e2e_listen,char_u5e2e,LISTEN_CHOOSE_CHARACTER,帮,助,喜,游,draft,DRAFT
q_char_u52a9_listen,char_u52a9,LISTEN_CHOOSE_CHARACTER,助,喜,游,戏,draft,DRAFT
q_char_u559c_listen,char_u559c,LISTEN_CHOOSE_CHARACTER,喜,游,戏,礼,draft,DRAFT
q_char_u6e38_listen,char_u6e38,LISTEN_CHOOSE_CHARACTER,游,戏,礼,物,draft,DRAFT
q_char_u620f_listen,char_u620f,LISTEN_CHOOSE_CHARACTER,戏,礼,物,节,draft,DRAFT
q_char_u793c_listen,char_u793c,LISTEN_CHOOSE_CHARACTER,礼,物,节,阳,draft,DRAFT
q_char_u7269_listen,char_u7269,LISTEN_CHOOSE_CHARACTER,物,节,阳,亮,draft,DRAFT
q_char_u8282_listen,char_u8282,LISTEN_CHOOSE_CHARACTER,节,阳,亮,彩,draft,DRAFT
q_char_u9633_listen,char_u9633,LISTEN_CHOOSE_CHARACTER,阳,亮,彩,虹,draft,DRAFT
q_char_u4eae_listen,char_u4eae,LISTEN_CHOOSE_CHARACTER,亮,彩,虹,森,draft,DRAFT
q_char_u5f69_listen,char_u5f69,LISTEN_CHOOSE_CHARACTER,彩,虹,森,林,draft,DRAFT
q_char_u8679_listen,char_u8679,LISTEN_CHOOSE_CHARACTER,虹,森,林,原,draft,DRAFT
q_char_u68ee_listen,char_u68ee,LISTEN_CHOOSE_CHARACTER,森,林,原,公,draft,DRAFT
